State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,McDonough," ""17109""",3,Population (persons) 1/,Number of persons,36009,36776,37459,40339,40641,40592,39431,39972,39666,38695,37222,37705,38592,38348,37471,36601,35954,35315,34955,35038,35187,35210,35133,34832,34848,34935,33563,33508,33382,33341,33168,32841,32789,32802,32971,32798,32848,32868,32945,32615,32611,32634,32521,32558,32253,31799,31449,30907,30373,29984,29682
IL,McHenry," ""17111""",3,Population (persons) 1/,Number of persons,108929,111683,112145,114462,120057,122144,124895,128283,133708,138217,143575,148132,148814,149834,151784,154773,157672,161268,165577,170847,176311,185409,193390,201137,210283,219478,228762,235954,242449,248529,255448,261084,267632,274441,281743,287997,294280,300630,305117,307246,308067,309112,308504,308230,307605,307404,307572,307159,307815,308251,307774
IL,McLean," ""17113""",3,Population (persons) 1/,Number of persons,102599,105073,107920,113024,114221,114945,114040,115432,116848,117535,118173,119354,119963,120379,121622,122295,122918,122638,124317,126021,127624,129715,132200,134198,136831,138613,140945,142363,144342,146526,149135,150844,152713,155882,157795,159096,160299,162925,165223,166825,168727,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
IL,Macon," ""17115""",3,Population (persons) 1/,Number of persons,124733,124905,125278,125241,126910,127752,129218,129701,131366,132404,132364,131205,130295,128485,126932,126033,124970,122775,120527,119024,117723,117271,117984,118297,117933,117490,117289,116573,115706,115453,115142,114499,113604,112564,111572,111181,111083,110808,110751,110588,110732,110787,110684,110134,109561,108515,107343,106383,105399,104504,104009
IL,Macoupin," ""17117""",3,Population (persons) 1/,Number of persons,44564,44538,44775,45576,46248,46623,47277,47592,48211,48645,48504,49505,49902,49412,49410,49274,49182,48978,48723,48375,47921,47690,47897,47860,48082,48422,48677,48930,48866,48732,49005,48972,48788,48719,48690,48612,48418,48176,48195,48092,47630,47797,47739,47054,46680,46208,45876,45691,45505,45318,44926
IL,Madison," ""17119""",3,Population (persons) 1/,Number of persons,249103,251383,253953,255074,253268,252454,251269,250915,249533,250607,251452,247559,246702,244437,244885,245117,246494,247243,248041,248932,248251,249738,251778,253201,254434,255580,256665,257218,258533,258700,258739,259204,260343,261130,262566,263722,264759,266164,267382,268232,268978,269310,268636,268072,267268,266566,265996,265641,265251,264026,262966
IL,Marion," ""17121""",3,Population (persons) 1/,Number of persons,39134,39122,39834,40265,40700,40574,40828,41120,42095,42733,44025,43740,44534,44347,44419,44139,43675,43272,42791,42232,41768,41612,41571,41628,41768,41764,41972,42123,42062,41896,41647,41665,41393,40971,40602,40229,39941,40037,39898,39794,39465,39416,39141,39008,38669,38555,38359,38045,37726,37381,37205
IL,Marshall," ""17123""",3,Population (persons) 1/,Number of persons,13341,13300,13301,12888,13326,13263,13428,13624,13694,13691,13901,14493,14524,14308,14177,13805,13478,13164,13027,12967,12883,12869,12840,12904,12832,12821,12928,12948,13033,13105,13182,13137,12917,12939,12911,13007,12952,12896,12896,12725,12671,12637,12487,12259,12128,11966,11925,11881,11668,11483,11438
IL,Mason," ""17125""",3,Population (persons) 1/,Number of persons,16114,16262,16666,17246,17191,17682,18304,19012,19450,19776,19530,19457,19285,18797,18448,17906,17520,16994,16625,16432,16238,16277,16353,16419,16432,16374,16344,16262,16297,16194,16082,16001,15960,15847,15717,15671,15471,15153,15078,14962,14787,14651,14471,14322,14144,14103,13863,13675,13677,13533,13359
IL,Massac," ""17127""",3,Population (persons) 1/,Number of persons,13965,13808,13573,13750,13866,13806,14115,14356,14578,14732,15204,15036,15196,15069,14996,14951,14968,15022,14830,14915,14747,14771,14784,14891,15063,15140,15152,15208,15364,15378,15258,15136,15077,15206,15205,15444,15477,15397,15471,15408,15435,15380,15281,15066,14847,14756,14567,14440,14291,14023,13772
IL,Menard," ""17129""",3,Population (persons) 1/,Number of persons,9664,9707,9790,10154,10334,10560,10807,11063,11211,11384,11267,11718,11769,11682,11640,11603,11592,11489,11404,11334,11305,11130,11229,11352,11575,11795,12006,12154,12246,12281,12390,12476,12503,12525,12562,12641,12556,12570,12746,12780,12720,12696,12698,12691,12572,12508,12356,12398,12293,12289,12196
IL,Mercer," ""17131""",3,Population (persons) 1/,Number of persons,17315,17252,17259,17262,17710,17815,18165,18578,18747,18967,19575,19352,19586,19468,19254,18977,18584,18106,17893,17771,17467,17261,17219,17156,17072,17083,17083,17026,17011,16979,16948,16937,16910,16914,16829,16795,16694,16642,16598,16650,16438,16409,16316,16163,16075,15901,15746,15602,15608,15551,15437
IL,Monroe," ""17133""",3,Population (persons) 1/,Number of persons,18427,18702,18328,18982,19112,19222,19348,19465,19539,19777,19826,20194,20467,20341,20391,20605,20701,20901,21347,21684,21970,22560,22994,23465,23924,24228,24790,25408,25889,26664,27247,27764,28302,29070,29771,30422,31007,31644,32139,32533,32848,32994,33214,33260,33457,33540,33739,33913,34179,34373,34637
IL,Montgomery," ""17135""",3,Population (persons) 1/,Number of persons,30445,30263,30513,31015,31086,31149,31280,31558,32027,32242,31820,31905,32726,32662,32537,32023,31898,31602,31422,31328,31073,30630,30687,30795,30504,30651,30702,30690,31072,31053,30748,30657,30516,30550,30355,30394,30288,30378,30295,30276,30124,30097,29864,29616,29362,29449,29192,29061,28781,28691,28414
IL,Morgan," ""17137""",3,Population (persons) 1/,Number of persons,36327,36313,37241,37282,37378,37578,37277,37522,37679,37825,37336,37540,37625,37158,37307,36976,37338,37121,36796,36505,36518,36443,36582,36626,36994,37085,37079,37104,36793,36617,36546,36638,36403,36262,36241,36332,36101,35966,35936,35761,35602,35503,35481,35317,35000,34673,34673,34632,34245,34027,33658
IL,Moultrie," ""17139""",3,Population (persons) 1/,Number of persons,13335,13309,13558,13549,13500,13511,13745,13797,13953,13872,14597,14572,14649,14650,14669,14511,14392,14268,14184,14086,13953,13946,13909,14014,13865,13960,14051,14128,14221,14179,14198,14327,14324,14362,14432,14521,14587,14565,14666,14743,14787,14859,14856,14874,14796,14751,14743,14610,14701,14648,14501
IL,Ogle," ""17141""",3,Population (persons) 1/,Number of persons,42490,42726,42577,43415,44045,44468,44932,45128,45200,45870,46254,46422,46679,46059,46025,45920,45969,45457,45270,45491,45845,46059,46892,47413,48053,48725,49166,49810,50074,50368,50751,51275,51468,51758,52227,52536,52893,53358,53634,53802,53621,53414,53064,52776,52266,51931,51559,51148,50993,50781,50643
